Symbol,Date,Open,High,Low,Close,Volume
AAPL,2020-10-09,114.97,117.0,114.97,116.97,20385
AAPL,2020-10-11,116.97,116.97,116.97,116.97,7209
AAPL,2020-10-12,116.97,125.1599,116.97,124.4,28768
AAPL,2020-10-13,124.4,125.31,119.87,121.1,28767
AAPL,2020-10-14,121.1,123.02,119.6201,121.19,28770
AAPL,2020-10-15,121.19,121.1998,118.25,120.71,28769
AAPL,2020-10-16,120.71,121.52,118.87,119.02,20401
AAPL,2020-10-18,119.02,119.02,119.02,119.02,7208
AAPL,2020-10-19,119.02,120.38,115.7,115.98,28755
AAPL,2020-10-20,115.98,118.98,115.7,117.51,28756
AAPL,2020-10-21,117.51,117.51,117.51,117.51,28752
AAPL,2020-10-22,117.51,117.51,117.51,117.51,28754
AAPL,2020-10-23,117.51,117.51,117.51,117.51,20387
AAPL,2020-10-25,115.04,115.04,115.04,115.04,7206
AAPL,2020-10-26,115.04,116.525,112.895,115.05,28759
AAPL,2020-10-27,115.05,117.25,114.5601,116.6,28757
AAPL,2020-10-28,116.6,116.6,111.19,111.2,28757
AAPL,2020-10-29,111.2,116.915,111.2,115.32,28759
AAPL,2020-10-30,115.32,115.32,107.745,108.86,20392
AAPL,2020-11-01,108.86,108.86,108.86,108.86,7210
AAPL,2020-11-02,108.86,110.65,107.33,108.77,28521
AAPL,2020-11-03,108.77,111.46,108.77,110.44,28772
AAPL,2020-11-04,110.44,115.57,110.44,114.95,28771
AAPL,2020-11-05,114.95,119.59,114.95,119.03,28771
AAPL,2020-11-06,119.03,119.2,116.1393,118.69,20399
AAPL,2020-11-08,118.69,118.69,118.69,118.69,7208
AAPL,2020-11-09,118.69,121.97,116.13,116.32,28770
AAPL,2020-11-10,116.32,117.583,114.15,115.97,28770
AAPL,2020-11-11,115.97,119.6,115.97,119.49,28770
AAPL,2020-11-12,119.49,120.515,118.57,119.21,28770
AAPL,2020-11-13,119.21,119.67,117.88,119.26,21599
AAPL,2020-11-15,119.26,119.26,119.26,119.26,7206
AAPL,2020-11-16,119.26,120.9856,118.2199,120.3,28761
AAPL,2020-11-17,120.3,120.67,118.98,119.39,28757
AAPL,2020-11-18,119.39,119.815,118.0,118.03,28759
AAPL,2020-11-19,118.03,118.95,116.82,118.64,28759
AAPL,2020-11-20,118.64,118.76,117.3,117.34,21590
AAPL,2020-11-22,117.34,117.34,117.34,117.34,7205
AAPL,2020-11-23,117.34,117.5969,113.76,113.85,28754
AAPL,2020-11-24,113.85,115.8385,112.615,115.17,28758
AAPL,2020-11-25,115.17,116.75,115.17,116.03,28757
AAPL,2020-11-26,116.03,116.03,116.03,116.03,28759
AAPL,2020-11-27,116.03,117.48,116.03,116.59,21619
AAPL,2020-11-29,116.59,116.59,116.59,116.59,7207
AAPL,2020-11-30,116.59,120.96,116.59,119.05,28754
AAPL,2020-12-01,119.05,123.445,119.05,122.72,28798
AAPL,2020-12-02,122.72,123.365,120.9584,123.08,28789
AAPL,2020-12-03,123.08,123.76,122.22,122.94,28799
AAPL,2020-12-04,122.94,122.94,121.53,122.25,21598
AAPL,2020-12-06,122.25,122.25,122.25,122.25,7160
AAPL,2020-12-07,122.25,124.555,122.25,123.75,28743
AAPL,2020-12-08,123.75,124.98,123.12,124.38,28715
AAPL,2020-12-09,124.38,125.92,121.07,121.78,28724
AAPL,2020-12-10,121.78,123.855,120.22,123.24,28749
AAPL,2020-12-11,123.24,123.24,120.55,122.41,20359
AAPL,2020-12-13,122.41,122.41,122.41,122.41,7215
AAPL,2020-12-14,122.41,123.34,121.7148,121.78,28798
AAPL,2020-12-15,121.78,127.8839,121.78,127.88,28798
AAPL,2020-12-16,127.88,128.36,126.5664,127.81,28798
AAPL,2020-12-17,127.81,129.54,127.81,128.7,28798
AAPL,2020-12-18,128.7,129.04,126.1205,126.655,21310
AAPL,2020-12-20,0.0,126.655,0.0,126.655,7173
AAPL,2020-12-21,126.655,128.26,123.47,128.23,28798
AAPL,2020-12-22,128.23,134.39,128.23,131.88,28798
AAPL,2020-12-23,131.88,132.35,130.82,130.96,28798
AAPL,2020-12-24,130.96,133.46,130.96,131.97,28798
AAPL,2020-12-25,131.97,131.97,131.97,131.97,21620
AAPL,2021-01-17,127.14,127.14,127.14,127.14,7210
AAPL,2021-01-18,127.14,127.14,127.14,127.14,28766
AAPL,2021-01-19,127.14,128.675,126.95,127.83,28727
AAPL,2021-01-20,127.83,132.4799,127.83,132.03,28729
AAPL,2021-01-21,132.03,137.3349,132.03,136.87,28720
AAPL,2021-01-22,136.87,139.835,135.055,139.07,21550
AAPL,2021-01-24,139.07,139.07,139.07,139.07,7216
AAPL,2021-01-25,139.07,145.0301,136.8035,142.92,28757
AAPL,2021-01-26,142.92,144.2695,141.4228,143.16,28738
AAPL,2021-01-27,143.16,144.2755,140.4527,142.06,28739
AAPL,2021-01-28,142.06,142.06,136.74,137.09,28740
AAPL,2021-01-29,137.09,137.09,130.24,131.96,21577
AAPL,2021-01-31,131.96,131.96,131.96,131.96,7203
AAPL,2021-02-01,131.96,135.365,130.96,134.14,28723
AAPL,2021-02-02,134.14,136.22,134.14,134.99,28724
AAPL,2021-02-03,134.99,135.59,133.7,133.94,28729
AAPL,2021-02-04,133.94,137.4,133.94,137.39,28731
AAPL,2021-02-05,137.39,137.39,135.8784,136.76,21573
AAPL,2021-02-14,135.37,135.37,135.37,135.37,7205
AAPL,2021-02-15,135.37,135.37,135.37,135.37,28716
AAPL,2021-02-16,135.37,135.99,132.821,133.19,28720
AAPL,2021-02-17,133.19,133.19,129.5,130.84,28722
AAPL,2021-02-18,130.84,130.84,127.44,129.71,28724
AAPL,2021-02-19,129.71,130.705,128.81,129.87,21565
AAPL,2021-02-21,129.87,129.87,129.87,129.87,7207
AAPL,2021-02-22,129.87,129.87,125.61,126.0,28737
AAPL,2021-02-23,126.0,126.7,119.07,125.86,28723
AAPL,2021-02-24,125.86,125.86,122.275,125.35,28721
AAPL,2021-02-25,125.35,126.41,120.57,120.99,28721
AAPL,2021-02-26,120.99,124.835,120.99,121.26,21557
AAPL,2021-02-28,121.26,121.26,121.26,121.26,7198
AAPL,2021-03-01,121.26,127.92,121.26,127.79,28724
AAPL,2021-03-02,127.79,128.62,125.07,125.12,28708
AAPL,2021-03-03,125.12,125.64,121.94,122.06,28704
AAPL,2021-03-04,122.06,123.57,118.63,120.13,28721
AAPL,2021-03-05,120.13,121.9196,117.6,121.42,21558
AAPL,2021-03-07,121.42,121.42,121.42,121.42,7201
AAPL,2021-03-08,121.42,121.42,116.24,116.36,28716
AAPL,2021-03-09,116.36,122.05,116.36,121.085,28722
AAPL,2021-03-10,121.085,122.15,119.47,119.98,28727
AAPL,2021-03-11,119.98,123.14,119.98,121.96,26609
AAPL,2021-03-12,121.96,121.96,119.17,121.03,21553
AAPL,2021-03-14,121.03,121.03,121.03,121.03,7211
AAPL,2021-03-15,121.03,124.0,120.48,123.99,28770
AAPL,2021-03-16,123.99,127.2,123.99,125.57,28697
AAPL,2021-03-17,125.57,125.85,122.365,124.76,28693
AAPL,2021-03-18,124.76,124.76,120.3476,120.53,28697
AAPL,2021-03-19,120.53,121.39,119.6899,119.99,21543
AAPL,2021-03-21,119.99,119.99,119.99,119.99,7202
AAPL,2021-03-22,119.99,123.861,119.99,123.39,28704
AAPL,2021-03-23,123.39,124.225,122.18,122.54,28705
AAPL,2021-03-24,122.54,122.8422,120.08,120.09,28705
AAPL,2021-03-25,120.09,121.6401,119.04,120.59,28705
AAPL,2021-03-26,120.59,121.44,118.9502,121.21,21548
AAPL,2021-03-28,121.21,121.21,121.21,121.21,7192
AAPL,2021-03-29,121.21,122.575,120.73,121.39,28711
AAPL,2021-03-30,121.39,121.39,118.8801,119.9,28718
AAPL,2021-03-31,119.9,123.5178,119.9,122.15,28719
AAPL,2021-04-01,122.15,124.17,122.15,123.0,28718
AAPL,2021-04-02,123.0,123.0,123.0,123.0,21551
AAPL,2021-04-04,123.0,123.0,123.0,123.0,7207
AAPL,2021-04-05,123.0,126.16,123.0,125.9,28760
